rank,word,freq
866,figure,111647
867,seven,111646
868,foreign,111509
869,laugh,111440
870,disease,111433
871,lady,111384
872,beyond,111221
873,discuss,111181
874,finish,111094
875,design,111026
876,concern,110976
877,ball,110770
878,east,110589
879,recognize,110405
880,apply,110328
881,prepare,110266
882,network,110210
883,huge,110088
884,success,110030
885,district,109941
886,cup,109915
887,name,109851
888,physical,109576
889,growth,109567
890,rise,109035
891,hi,108665
892,standard,107818
893,force,107636
894,sign,107633
895,fan,107631
896,theory,107486
897,staff,107396
898,hurt,107262
899,legal,107134
900,september,106932
901,set,106920
902,outside,106572
903,et,106546
904,strategy,106236
905,clearly,105965
906,property,105851
907,lay,105812
908,final,105688
909,authority,105586
910,perfect,105560
911,method,105544
912,region,105382
913,since,105367
914,impact,105330
915,indicate,105304
916,safe,105273
917,committee,105133
918,supposed,105037
919,dream,104797
920,training,104563
921,shit,104498
922,central,104403
923,option,104245
924,eight,104060
925,particularly,104018
926,completely,103941
927,opinion,103920
928,main,103803
929,ten,103677
930,interview,103566
931,exist,103550
932,remove,103480
933,dark,103384
934,play,103352
935,union,102805
936,professor,102741
937,pressure,102669
938,purpose,102642
939,stage,102611
940,blue,102172
941,herself,102154
942,sun,102043
943,pain,101918
944,artist,101861
945,employee,101818
946,avoid,101794
947,account,101683
948,release,101668
949,fund,101503
950,environment,101479
951,treat,101438
952,specific,101222
953,version,101091
954,shot,101016
955,hate,100757
956,reality,100700
957,visit,100463
958,club,100411
959,justice,100360
960,river,100270
961,brain,100235
962,memory,100235
963,rock,100028
964,talk,99986
965,camera,99855
966,global,99848
967,various,99838
968,arrive,99819
969,notice,99709
970,bit,99520
971,detail,99477
972,challenge,99455
973,argument,99403
974,lot,99278
975,nobody,99029
976,weapon,98828
977,best,98807
978,station,98720
979,island,98596
980,absolutely,98574
981,instead,98540
982,discussion,98359
983,instead,98231
984,affect,98073
985,design,97967
986,little,97858
987,anyway,97831
988,respond,97750
989,control,97504
990,trouble,97439
991,conversation,97193
992,manage,97135
993,close,97117
994,date,97094
995,public,97031
996,army,97025
997,top,96997
998,post,96926
999,charge,96872
1000,seat,96853
1001,assume,96840
1002,writer,96279
1003,perform,96202
1004,credit,95981
1005,green,95937
1006,marriage,95885
1007,operation,95878
1008,indeed,95860
1009,sleep,95600
1010,necessary,95580
1011,reveal,95401
1012,agent,95371
1013,access,95371
1014,bar,95305
1015,debate,95244
1016,leg,95185
1017,contain,95143
1018,beat,94941
1019,cool,94920
1020,democratic,94862
1021,cold,94856
1022,glass,94803
1023,improve,94764
1024,adult,94547
1025,trade,94509
1026,religious,94485
1027,head,94408
1028,review,94364
1029,kind,94334
1030,address,94155
1031,association,94100
1032,measure,93952
1033,stock,93809
1034,gas,93763
1035,deep,93753
1036,lawyer,93526
1037,production,93507
1038,relate,93433
1039,middle,93428
1040,management,93289
1041,original,93230
1042,victim,93207
1043,cancer,93157
1044,speech,92837
1045,particular,92775
1046,trial,92762
1047,none,92729
1048,item,92545
1049,weight,92516
1050,tomorrow,92490
1051,step,92268
1052,positive,92223
1053,form,92198
1054,citizen,92182
1055,study,92101
1056,trip,91830
1057,establish,91776
1058,executive,91696
1059,politics,91621
1060,stick,91597
1061,customer,91563
1062,manager,91527
1063,rather,91475
1064,publish,91441
1065,popular,91435
1066,sing,91395
1067,ahead,91325
1068,conference,91185
1069,total,91071
1070,discover,90959
1071,fast,90956
1072,base,90915
1073,direction,90826
1074,sunday,90771
1075,maintain,90737
1076,past,90674
1077,majority,90548
1078,peace,90518
1079,dinner,90516
1080,partner,90455
1081,user,90342
1082,above,90318
1083,fly,90236
1084,bag,90234
1085,therefore,89981
1086,rich,89706
1087,individual,89686
1088,tough,89612
1089,owner,89612
1090,shall,89582
1091,inside,89494
1092,voter,89245
1093,tool,89236
1094,june,89233
1095,far,89074
1096,may,88994
1097,mountain,88984
1098,range,88892
1099,coach,88826
1100,fear,88724
1101,friday,88632
1102,attorney,88616
1103,unless,88605
1104,nor,88431
1105,expert,88134
1106,structure,88114
1107,budget,88084
1108,insurance,88036
1109,text,87811
1110,freedom,87806
1111,crazy,87804
1112,reader,87422
1113,style,87244
1114,through,87238
1115,march,87215
1116,machine,87156
1117,november,87108
1118,generation,87071
1119,income,86902
1120,born,86829
1121,admit,86631
1122,hello,86614
1123,onto,86605
1124,sea,86544
1125,okay,86529
1126,mouth,86406
1127,throughout,86381
1128,own,86371
1129,test,86155
1130,web,85868
1131,shake,85841
1132,threat,85754
1133,solution,85661
1134,shut,85625
1135,down,85515
1136,travel,85441
1137,scientist,85428
1138,hide,85395
1139,obviously,85364
1140,refer,85212
1141,alone,85036
1142,drink,84895
1143,investigation,84783
1144,senator,84544
1145,unit,84518
1146,photograph,84476
1147,july,84439
1148,television,84433
1149,key,84228
1150,sexual,84220
1151,radio,84218
1152,prevent,84179
1153,once,84165
1154,modern,83945
1155,senate,83931
1156,violence,83882
1157,touch,83871
1158,feature,83853
1159,audience,83493
1160,evening,83312
1161,whom,83267
1162,front,83180
1163,hall,82960
1164,task,82839
1165,score,82738
1166,skin,82598
1167,suffer,82579
1168,wide,82565
1169,spring,82557
1170,experience,82550
1171,civil,82544
1172,safety,82535
1173,weekend,82429
1174,while,82196
1175,worth,82178
1176,title,82165
1177,heat,82112
1178,normal,82076
1179,hope,81896
1180,yard,81852
1181,finger,81817
1182,tend,81665
1183,mission,81524
1184,eventually,81481
1185,participant,81371
1186,hotel,81364
1187,judge,81312
1188,pattern,81097
1189,break,81057
1190,institution,80998
1191,faith,80912
1192,professional,80903
1193,reflect,80851
1194,folk,80843
1195,surface,80819
1196,fall,80585
1197,client,80584
1198,edge,80577
1199,traditional,80470
1200,council,80469
1201,device,80398
1202,firm,80364
1203,environmental,80328
1204,responsibility,80294
1205,chair,80186
1206,internet,80144
1207,october,80099
1208,by,80074
1209,funny,79978
1210,immediately,79856
1211,investment,79833
1212,ship,79715
1213,effective,79635
1214,previous,79535
1215,content,79496
1216,consumer,79489
1217,element,79440
1218,nuclear,79435
1219,spirit,79123
1220,directly,79121
1221,afraid,78979
1222,define,78953
1223,handle,78899
1224,track,78828
1225,run,78645
1226,wind,78623
1227,lack,78587
1228,cost,78520
1229,announce,78426
1230,journal,78364
1231,heavy,78327
1232,ice,78316
1233,collection,78281
1234,feed,78280
1235,soldier,78276
1236,just,78214
1237,governor,78194
1238,fish,78114
1239,shoulder,78062
1240,cultural,78023
1241,successful,77999
1242,fair,77775
1243,trust,77728
1244,suddenly,77721
1245,future,77663
1246,interested,77632
1247,deliver,77338
1248,saturday,77290
1249,editor,77280
1250,fresh,77195
1251,anybody,77150
1252,destroy,77088
1253,claim,77050
1254,critical,77026
1255,agreement,76793
1256,powerful,76773
1257,researcher,76737
1258,concept,76679
1259,willing,76629
1260,band,76423
1261,marry,76412
1262,promise,76397
1263,easily,76348
1264,restaurant,76197
1265,league,76178
1266,senior,76109
1267,capital,76018
1268,anymore,75907
1269,april,75906
1270,potential,75838
1271,etc,75726
1272,quick,75637
1273,magazine,75615
1274,status,75577
1275,attend,75448
1276,replace,75439
1277,due,75368
1278,hill,75365
1279,kitchen,75167
1280,achieve,74946
1281,screen,74705
1282,generally,74681
1283,mistake,74643
1284,along,74461
1285,strike,74378
1286,battle,74296
1287,spot,74296
1288,basic,74208
1289,very,74143
1290,corner,74047
1291,target,73925
1292,driver,73902
1293,beginning,73853
1294,religion,73744
1295,crisis,73691
1296,count,73650
1297,museum,73559
1298,engage,73493
1299,communication,73413
1300,murder,73388
1301,blow,73361
1302,object,73304
1303,express,73274
1304,huh,73257
1305,encourage,73251
1306,matter,73171
1307,blog,73163
1308,smile,73137
1309,return,73109
1310,belief,73067
1311,block,73065
1312,debt,73015
1313,fire,72911
1314,labor,72759
1315,understanding,72651
1316,neighborhood,72625
1317,contract,72568
1318,middle,72563
1319,species,72542
1320,additional,72539
1321,sample,72489
1322,involved,72455
1323,inside,72435
1324,mostly,72378
1325,path,72335
1326,concerned,72309
1327,apple,72273
1328,conduct,72181
1329,god,72022
1330,wonderful,71940
1331,library,71921
1332,prison,71871
1333,hole,71837
1334,attempt,71833
1335,complete,71752
1336,code,71659
1337,sales,71601
1338,gift,71372
1339,refuse,71277
1340,increase,71248
1341,garden,71243
1342,introduce,71221
1343,roll,71123
1344,christian,71055
1345,definitely,70982
1346,like,70955
1347,lake,70940
1348,turn,70831
1349,sure,70758
1350,earn,70697
1351,plane,70679
1352,vehicle,70662
1353,examine,70501
1354,application,70441
1355,thousand,70404
1356,coffee,70366
1357,gain,70275
1358,result,70269
1359,file,70059
1360,billion,70048
1361,reform,70010
1362,ignore,70007
1363,welcome,69914
1364,gold,69903
1365,jump,69861
1366,planet,69822
1367,location,69669
1368,bird,69662
1369,amazing,69525
1370,principle,69403
1371,promote,69398
1372,search,69392
1373,nine,69389
1374,alive,69360
1375,possibility,69316
1376,sky,69285
1377,otherwise,69243
1378,remind,69182
1379,healthy,69023
1380,fit,68996
1381,horse,68883
1382,advantage,68866
1383,commercial,68821
1384,steal,68807
1385,basis,68758
1386,context,68668
1387,highly,68586
1388,christmas,68542
1389,strength,68537
1390,move,68522
1391,monday,68488
1392,mean,68411
1393,alone,68401
1394,beach,68303
1395,survey,68301
1396,writing,68200
1397,master,68182
1398,cry,68161
1399,scale,68139
1400,resident,68096
1401,football,68073
1402,sweet,67903
1403,failure,67885
1404,reporter,67831
1405,commit,67792
1406,fight,67767
1407,one,67755
1408,associate,67750
1409,vision,67714
1410,function,67710
1411,truly,67680
1412,sick,67645
1413,average,67618
1414,human,67605
1415,stupid,67597
1416,will,67581
1417,chinese,67573
1418,connection,67550
1419,camp,67510
1420,stone,67456
1421,hundred,67455
1422,key,67404
1423,truck,67403
1424,afternoon,67378
1425,responsible,67329
1426,secretary,67325
1427,apparently,67248
1428,smart,67232
1429,southern,67179
1430,totally,67117
1431,western,67085
1432,collect,67062
1433,conflict,67061
1434,burn,66886
1435,learning,66879
1436,wake,66773
1437,contribute,66772
1438,ride,66723
1439,british,66700
1440,following,66684
1441,order,66657
1442,share,66642
1443,newspaper,66598
1444,foundation,66578
1445,variety,66555
1446,perspective,66540
1447,document,66467
1448,presence,66412
1449,stare,66392
1450,lesson,66252
1451,limit,66220
1452,appreciate,66216
1453,complete,66198
1454,observe,66197
1455,currently,66051
1456,hundred,66002
1457,fun,65982
1458,crowd,65965
1459,attack,65959
1460,apartment,65884
1461,survive,65838
1462,guest,65818
1463,soul,65749
1464,protection,65690
1465,intelligence,65687
1466,yesterday,65635
1467,somewhere,65620
1468,border,65422
1469,reading,65417
1470,terms,65413
1471,leadership,65396
1472,present,65336
1473,chief,65311
1474,attitude,65288
1475,start,65218
1476,um,65033
1477,deny,64887
1478,website,64875
1479,seriously,64827
1480,actual,64818
1481,recall,64789
1482,fix,64728
1483,negative,64601
1484,connect,64462
1485,distance,64404
1486,regular,64293
1487,climate,64223
1488,relation,64199
1489,flight,64148
1490,dangerous,64067
1491,boat,64026
1492,aspect,63967
1493,grab,63946
1494,until,63882
1495,favorite,63804
1496,like,63748
1497,january,63714
1498,independent,63631
1499,volume,63626
1500,am,63615
1501,lots,63604
1502,front,63594
1503,online,63564
1504,theater,63549
1505,speed,63502
1506,aware,63488
1507,identity,63440
1508,demand,63402
1509,extra,63392
1510,charge,63379
1511,guard,63290
1512,demonstrate,63269
1513,fully,63238
1514,tuesday,63179
1515,facility,63117
1516,farm,62942
1517,mind,62869
1518,fun,62839
1519,thousand,62833
1520,august,62821
1521,hire,62794
1522,light,62687
1523,link,62629
1524,shoe,62523
1525,institute,62451
1526,below,62313
1527,living,62299
1528,european,62156
1529,quarter,62138
1530,basically,62046
1531,forest,61942
1532,multiple,61694
1533,poll,61677
1534,wild,61605
1535,measure,61601
1536,twice,61563
1537,cross,61522
1538,background,61431
1539,settle,61424
1540,winter,61394
1541,focus,61392
1542,presidential,61351
1543,operate,61296
1544,fuck,61292
1545,view,61111
1546,daily,61083
1547,shop,61038
1548,above,61018
1549,division,60892
1550,slowly,60889
1551,advice,60861
1552,reaction,60811
1553,injury,60769
1554,it,60763
1555,ticket,60721
1556,grade,60710
1557,wow,60702
1558,birth,60673
1559,painting,60548
1560,outcome,60498
1561,enemy,60473
1562,damage,60384
1563,being,60354
1564,storm,60280
1565,shape,60252
1566,bowl,60234
1567,commission,60218
1568,captain,60187
1569,ear,60160
1570,troop,60133
1571,female,60116
1572,wood,60115
1573,warm,60062
1574,clean,60059
1575,lead,59773
1576,minister,59752
1577,neighbor,59746
1578,tiny,59714
1579,mental,59701
1580,software,59696
1581,glad,59681
1582,finding,59632
1583,lord,59563
1584,drive,59524
1585,temperature,59493
1586,quiet,59485
1587,spread,59483
1588,bright,59449
1589,cut,59434
1590,influence,59350
1591,kick,59307
1592,annual,59301
1593,procedure,59288
1594,respect,59226
1595,wave,59169
1596,tradition,59099
1597,threaten,59034
1598,primary,58990
1599,strange,58863
1600,actor,58856
1601,blame,58815
1602,active,58801
1603,cat,58763
1604,depend,58725
1605,bus,58707
1606,clothes,58660
1607,affair,58553
1608,contact,58518
1609,category,58470
1610,topic,58410
1611,victory,58342
1612,direct,58289
1613,towards,58251
1614,map,58218
1615,egg,58198
1616,ensure,58156
1617,general,58129
1618,expression,58120
1619,past,58119
1620,session,58108
1621,competition,58102
1622,possibly,58071
1623,technique,58028
1624,mine,58009
1625,average,57985
1626,intend,57970
1627,impossible,57892
1628,moral,57787
1629,academic,57717
1630,wine,57614
1631,approach,57607
1632,somehow,57596
1633,gather,57562
1634,scientific,57547
1635,african,57497
1636,cook,57383
1637,participate,57361
1638,gay,57195
1639,appropriate,57163
1640,youth,57132
1641,dress,56967
1642,straight,56942
1643,weather,56939
1644,recommend,56938
1645,medicine,56814
1646,novel,56709
1647,obvious,56696
1648,thursday,56611
1649,exchange,56534
1650,explore,56474
1651,extend,56458
1652,bay,56420
1653,invite,56415
1654,tie,56394
1655,ah,56374
1656,belong,56342
1657,obtain,56312
1658,broad,56310
1659,conclusion,56296
1660,progress,56162
1661,surprise,56116
1662,assessment,55956
1663,smile,55936
1664,feature,55868
1665,cash,55856
1666,defend,55825
1667,pound,55670
1668,correct,55632
1669,married,55629
1670,pair,55530
1671,slightly,55389
1672,loan,55348
1673,village,55217
1674,half,55207
1675,suit,55200
1676,demand,55168
1677,historical,55028
1678,meaning,55014
1679,attempt,54992
1680,supply,54988
1681,lift,54954
1682,ourselves,54951
1683,honey,54912
1684,bone,54911
1685,consequence,54883
1686,unique,54827
1687,next,54768
1688,regulation,54726
1689,award,54712
1690,bottom,54701
1691,excuse,54672
1692,familiar,54651
1693,classroom,54542
1694,search,54487
1695,reference,54390
1696,emerge,54379
